condition,outcome,n_contributors,n_nonmissing,n_missing,mean,median,sd,mad,min,max,range,scale_width,sd_per_scale,mad_per_scale,range_per_scale
Measurement & modeling (1),donation_ams,8,8,0,0.24125,0.1225,0.3099279870274015,0.044478,0.08499999999999999,1,0.915,10,0.03099279870274015,0.0044478,0.0915
Oil industry misinformation,trust_multidimensional,8,8,0,4.725,3.8,2.9609361454011225,0.8154299999999997,2.65,11.8,9.15,100,0.029609361454011225,0.008154299999999996,0.0915
Extreme weather predictions,policy_role_mean,8,8,0,2.86875,2.15,2.8141146159011665,1.1490150000000001,0.4,9.5,9.1,100,0.028141146159011664,0.011490150000000001,0.091
Former skeptics,donation_ams,8,8,0,0.263125,0.15,0.306278788734335,0.066717,0.09,1,0.91,10,0.0306278788734335,0.0066717,0.091
Scientist community helpers,donation_ams,8,8,0,0.27625,0.15,0.3038414765254126,0.07783649999999999,0.095,1,0.905,10,0.03038414765254126,0.007783649999999999,0.0905
Measurement & modeling (1),belief_post,8,8,0,2.70625,1.75,2.990035534905898,0.7042349999999999,1,10,9,100,0.02990035534905898,0.007042349999999999,0.09
Model accuracy,belief_post,8,8,0,3.05625,2.125,2.94016975943324,1.03782,1.1,10,8.9,100,0.0294016975943324,0.010378199999999999,0.08900000000000001
Peer-review,trust_post,8,8,0,3.39375,2.05,3.0123777390721007,1.0934174999999997,1.15,10,8.85,100,0.03012377739072101,0.010934174999999997,0.0885
Consensus,belief_post,8,8,0,4.11875,3.55,2.6811428133753497,1.5567299999999997,1.25,10,8.75,100,0.026811428133753496,0.015567299999999997,0.0875
Former skeptics,belief_post,8,8,0,3.71875,2.3,3.2766421727999884,1.4825999999999997,1.25,10,8.75,100,0.032766421727999887,0.014825999999999997,0.0875
Oil industry misinformation,policy_role_mean,8,8,0,4.53125,2.8,3.420310919450787,1.3343399999999999,1.75,10.5,8.75,100,0.03420310919450787,0.013343399999999998,0.0875
Scientist community helpers,trust_post,8,8,0,3.85625,2.85,2.8076982820198366,1.5567299999999997,1.25,10,8.75,100,0.028076982820198368,0.015567299999999997,0.0875
Interview Prof. Maraun,policy_role_mean,8,8,0,2.80625,1.5625,2.9486301298835604,0.630105,0.825,9.5,8.675,100,0.029486301298835605,0.00630105,0.08675000000000001
Peer-review,policy_role_mean,8,8,0,2.7406249999999996,1.275,3.0389712045596706,0.5374424999999998,0.825,9.5,8.675,100,0.030389712045596706,0.005374424999999999,0.08675000000000001
Social justice,policy_general,8,8,0,3.14375,1.75,2.884619001829234,1.000755,0.9,9.5,8.6,100,0.02884619001829234,0.01000755,0.086
Oil industry misinformation,inst_trust_mean,8,8,0,3.4,1.875,3.3909543536549456,0.555975,0.5,9,8.5,100,0.03390954353654946,0.00555975,0.085
High public trust,policy_role_mean,8,8,0,2.859375,1.4500000000000002,2.8887694333895384,0.4633125000000001,1.05,9.5,8.45,100,0.028887694333895386,0.004633125000000001,0.08449999999999999
Extreme weather predictions,inst_trust_mean,8,8,0,2.575,1.7,2.567655962713296,0.3335849999999998,0.25,8.5,8.25,100,0.025676559627132958,0.003335849999999998,0.0825
High public trust,trust_post,8,8,0,4.1,2.7249999999999996,2.967683078959554,1.2602099999999994,1.75,10,8.25,100,0.02967683078959554,0.012602099999999995,0.0825
Peer-review,inst_trust_mean,8,8,0,2.346875,1.1,2.77631685292892,0.6671699999999999,0.3,8.5,8.2,100,0.0277631685292892,0.006671699999999999,0.08199999999999999
Interview Prof. Sebille,inst_trust_mean,8,8,0,2.375,1.075,2.841151677954357,0.3335849999999998,0.35,8.5,8.15,100,0.02841151677954357,0.003335849999999998,0.0815
Oil industry misinformation,policy_general,8,8,0,4.05,2.575,3.1502834339604613,1.3714049999999998,1.5,9.55,8.05,100,0.031502834339604616,0.013714049999999998,0.0805
Former skeptics,trust_multidimensional,8,8,0,3.7125,1.9749999999999999,3.310669979669631,1.1119499999999995,1,9,8,100,0.03310669979669631,0.011119499999999996,0.08
Interview Prof. Sebille,policy_general,8,8,0,2.65625,1.5499999999999998,2.6627640714115097,0.59304,0.5,8.5,8,100,0.026627640714115098,0.0059304,0.08
Interview Prof. Sebille,policy_role_mean,8,8,0,3.25,2.05,2.748765956882158,1.2972749999999995,1,9,8,100,0.02748765956882158,0.012972749999999995,0.08
Scientist community helpers,policy_role_mean,8,8,0,3.525,2.65,2.6980151434500352,1.2602099999999998,1.5,9.5,8,100,0.026980151434500353,0.012602099999999998,0.08
High public trust,inst_trust_mean,8,8,0,2.56875,1.425,2.7635300277517727,0.5189100000000001,0.55,8.5,7.95,100,0.027635300277517726,0.005189100000000001,0.0795
Former skeptics,trust_post,8,8,0,3.73125,2.125,3.1908280944876095,1.18608,1.1,9,7.9,100,0.0319082809448761,0.0118608,0.079
Scientist community helpers,inst_trust_mean,8,8,0,2.5593749999999997,1.4500000000000002,2.6655854858066093,0.5930400000000001,0.775,8.5,7.725,100,0.026655854858066094,0.0059304000000000015,0.07725
Measurement & modeling (2),concern_mean,8,8,0,1.8125,0.775,2.583982253366746,0.33358499999999996,0.3,8,7.7,100,0.02583982253366746,0.0033358499999999996,0.077
Portrait Prof. Cherry,policy_role_mean,8,8,0,2.946875,1.7625,2.643537858763193,1.1304824999999998,0.85,8.5,7.65,100,0.026435378587631928,0.011304824999999998,0.0765
Scientist community helpers,trust_multidimensional,8,8,0,3.975,3.15,2.4574958218246707,1.6679250000000003,1.35,9,7.65,100,0.024574958218246706,0.016679250000000003,0.0765
Extreme weather predictions,trust_multidimensional,8,8,0,3.2062500000000003,2.7,2.2722609099434736,1.5196649999999998,0.4,8,7.6,100,0.022722609099434736,0.015196649999999999,0.076
High public trust,trust_multidimensional,8,8,0,3.73125,2.4,2.7978228142611177,1.223145,1.4,9,7.6,100,0.027978228142611177,0.01223145,0.076
Interview Prof. Maraun,concern_mean,8,8,0,1.93125,0.8500000000000001,2.5631924151617755,0.4818449999999999,0.4,8,7.6,100,0.025631924151617757,0.004818449999999999,0.076
Extreme weather predictions,concern_mean,8,8,0,2.45,1.625,2.3757705516917484,0.630105,0.45,8,7.55,100,0.023757705516917485,0.00630105,0.0755
Portrait Prof. Cherry,concern_mean,8,8,0,1.93125,0.8374999999999999,2.534221139860191,0.3706499999999999,0.575,8,7.425,100,0.025342211398601912,0.0037064999999999993,0.07425
Corporate reliance,concern_mean,8,8,0,2.265625,1.25,2.4729586639431376,0.9080924999999999,0.6000000000000001,8,7.4,100,0.024729586639431377,0.009080924999999998,0.07400000000000001
High public trust,concern_mean,8,8,0,2.24375,1.1,2.573135594117474,0.7413,0.6000000000000001,8,7.4,100,0.02573135594117474,0.0074129999999999995,0.07400000000000001
Interview Prof. Sebille,concern_mean,8,8,0,2.85,1.775,2.477469907558343,0.7413,0.6000000000000001,8,7.4,100,0.02477469907558343,0.0074129999999999995,0.07400000000000001
Peer-review,concern_mean,8,8,0,2.08125,1,2.5472586805651063,0.4818450000000001,0.6000000000000001,8,7.4,100,0.02547258680565106,0.004818450000000001,0.07400000000000001
Scientist community helpers,concern_mean,8,8,0,2.3,1.275,2.4326646178331166,0.7042349999999998,0.6,8,7.4,100,0.024326646178331166,0.0070423499999999984,0.07400000000000001
Model accuracy,concern_mean,8,8,0,2.34375,1.475,2.4017014058490167,0.555975,0.65,8,7.35,100,0.024017014058490167,0.00555975,0.0735
Oil industry misinformation,concern_mean,8,8,0,3.98125,2.825,2.790281283823755,1.55673,1.65,9,7.35,100,0.027902812838237548,0.0155673,0.0735
Former skeptics,policy_general,8,8,0,2.9499999999999997,1.625,2.765346787862755,0.8895599999999998,0.75,8,7.25,100,0.02765346787862755,0.008895599999999998,0.0725
Measurement & modeling (1),concern_mean,8,8,0,2.1625,1.175,2.4396647896205508,0.22239000000000003,0.75,8,7.25,100,0.024396647896205506,0.0022239000000000004,0.0725
Former skeptics,concern_mean,8,8,0,3.05625,2,2.601296036868655,1.371405,0.8,8,7.2,100,0.026012960368686548,0.01371405,0.07200000000000001
Portrait Prof. Cherry,newsletter_signup,8,8,0,0.017375,0.01,0.02364884473167468,0.0059304,0.0035,0.07500000000000001,0.07150000000000001,1,0.02364884473167468,0.0059304,0.07150000000000001
Consensus,concern_mean,8,8,0,2.646875,2,2.245886617001974,0.7413,0.875,8,7.125,100,0.02245886617001974,0.0074129999999999995,0.07125
Former skeptics,inst_trust_mean,8,8,0,2.575,1.1,2.8926013996302458,0.4818450000000001,0.35,7.45,7.1000000000000005,100,0.028926013996302458,0.004818450000000001,0.07100000000000001
High public trust,donation_ams,8,8,0,0.22375,0.125,0.23223679418091478,0.07413,0.04,0.75,0.71,10,0.02322367941809148,0.007413,0.071
Interview Prof. Maraun,donation_ams,8,8,0,0.215625,0.13,0.23505983280858514,0.0630105,0.04,0.75,0.71,10,0.023505983280858515,0.00630105,0.071
Social justice,concern_mean,8,8,0,2.85,1.6749999999999998,2.4579317670408534,0.9636899999999998,0.9,8,7.1,100,0.024579317670408534,0.009636899999999999,0.071
Interview Prof. Maraun,newsletter_signup,8,8,0,0.0175625,0.0085,0.02363930972523763,0.0055597500000000005,0.0045,0.07500000000000001,0.07050000000000001,1,0.02363930972523763,0.0055597500000000005,0.07050000000000001
Former skeptics,policy_role_mean,8,8,0,2.85,1.375,2.662034667585787,0.51891,0.95,8,7.05,100,0.02662034667585787,0.0051890999999999994,0.0705
High public trust,policy_specific_mean,8,8,0,1.921875,0.775,2.4472082308213987,0.3706499999999999,0.45,7.5,7.05,100,0.024472082308213988,0.0037064999999999993,0.0705
Funding,belief_post,8,8,0,1.903125,1.175,2.3307891635667093,0.9266249999999999,0.475,7.5,7.025,100,0.023307891635667093,0.009266249999999998,0.07025
Interview Prof. Maraun,trust_multidimensional,8,8,0,3.328125,2.3125,2.6123825161553746,1.7049899999999998,1,8,7,100,0.026123825161553746,0.017049899999999996,0.07
Scientist community helpers,newsletter_signup,8,8,0,0.0203125,0.01175,0.022587824628072788,0.005930399999999999,0.005,0.07500000000000001,0.07,1,0.022587824628072788,0.005930399999999999,0.07
Social justice,policy_role_mean,8,8,0,3.25,1.9749999999999999,2.5925718064170513,1.3343399999999996,1.05,8,6.95,100,0.025925718064170513,0.013343399999999997,0.0695
Model accuracy,donation_ams,8,8,0,0.22,0.15,0.2234789859088705,0.08154299999999999,0.06,0.75,0.69,10,0.02234789859088705,0.0081543,0.06899999999999999
Scientist community helpers,policy_specific_mean,8,8,0,2.040625,1.075,2.3522761583198517,0.4077149999999998,0.625,7.5,6.875,100,0.023522761583198517,0.004077149999999998,0.06875
Oil industry misinformation,policy_specific_mean,8,8,0,3.34375,2,2.8099869725168274,0.7413,1.4,8.2,6.799999999999999,100,0.028099869725168272,0.0074129999999999995,0.06799999999999999
Consensus,policy_role_mean,8,8,0,2.84375,1.775,2.2676982509017503,0.7042349999999997,1.25,8,6.75,100,0.022676982509017504,0.007042349999999998,0.0675
Extreme weather predictions,newsletter_signup,8,8,0,0.0214375,0.01375,0.02207363893231666,0.0055597500000000005,0.0075,0.07500000000000001,0.0675,1,0.02207363893231666,0.0055597500000000005,0.0675
Peer-review,trust_multidimensional,8,8,0,3.18125,2.025,2.461117269511088,1.0007549999999996,1.25,8,6.75,100,0.02461117269511088,0.010007549999999997,0.0675
Interview Prof. Maraun,policy_specific_mean,8,8,0,1.6625,0.725,2.279724294107263,0.38918249999999993,0.375,7,6.625,100,0.02279724294107263,0.0038918249999999994,0.06625
Corporate reliance,policy_role_mean,8,8,0,2.5625,1.7,2.1498754116725665,1.2972749999999997,0.4,7,6.6,100,0.021498754116725666,0.012972749999999998,0.066
Interview Prof. Maraun,inst_trust_mean,8,8,0,2.14375,1.0125,2.4625317256839554,0.5559749999999999,0.4,7,6.6,100,0.024625317256839554,0.005559749999999999,0.066
Portrait Prof. Cherry,policy_specific_mean,8,8,0,1.690625,0.7125,2.2471782901801856,0.33358499999999996,0.45,7,6.55,100,0.022471782901801855,0.0033358499999999996,0.0655
Measurement & modeling (2),policy_role_mean,8,8,0,2.26875,1.15,2.396863650094193,0.7412999999999998,0.55,7,6.45,100,0.02396863650094193,0.007412999999999999,0.0645
Portrait Prof. Cherry,inst_trust_mean,8,8,0,1.953125,0.8250000000000001,2.310860905593411,0.3891825000000001,0.55,7,6.45,100,0.023108609055934107,0.003891825000000001,0.0645
Measurement & modeling (1),policy_role_mean,8,8,0,2.621875,1.75,2.105750523651162,1.3528725,0.625,7,6.375,100,0.02105750523651162,0.013528724999999998,0.06375
Interview Prof. Sebille,trust_post,8,8,0,3.28125,2.225,2.3620417166994683,1.1860800000000002,1.2,7.5,6.3,100,0.023620417166994683,0.011860800000000003,0.063
Oil industry misinformation,donation_ams,8,8,0,0.315,0.2125,0.23508357176605452,0.11490149999999999,0.12,0.75,0.63,10,0.023508357176605453,0.01149015,0.063
Interview Prof. Sebille,trust_multidimensional,8,8,0,3.48125,2.4,2.3873083318726493,1.2602099999999998,1.25,7.5,6.25,100,0.023873083318726493,0.012602099999999998,0.0625
Oil industry misinformation,funding_perceptions,8,8,0,3.5,2.625,2.4095049876923444,1.3714049999999998,1.25,7.5,6.25,100,0.024095049876923444,0.013714049999999998,0.0625
Measurement & modeling (2),policy_general,8,8,0,1.6875,0.825,2.121109884672914,0.4447799999999999,0.3,6.5,6.2,100,0.021211098846729143,0.004447799999999999,0.062
Funding,policy_role_mean,8,8,0,0.909375,0.7625,2.091305876206812,2.0200424999999997,-1.65,4.5,6.15,100,0.020913058762068122,0.020200424999999998,0.061500000000000006
Consensus,inst_trust_mean,8,8,0,2.159375,1.4,2.058169154335266,0.6301049999999999,0.375,6.5,6.125,100,0.020581691543352657,0.006301049999999999,0.06125
Extreme weather predictions,policy_specific_mean,8,8,0,1.771875,1,1.9867164897675476,0.22238999999999995,0.375,6.5,6.125,100,0.019867164897675475,0.0022238999999999996,0.06125
Corporate reliance,policy_general,8,8,0,1.975,1.125,2.0138804050177077,0.8895600000000001,0.4,6.5,6.1,100,0.020138804050177078,0.008895600000000002,0.061
Extreme weather predictions,policy_general,8,8,0,2.021875,1.275,1.9199812824608473,0.5930399999999998,0.4,6.5,6.1,100,0.019199812824608472,0.005930399999999998,0.061
Consensus,policy_general,8,8,0,2.571875,1.75,1.9670244705791393,0.778365,0.975,7,6.025,100,0.019670244705791394,0.00778365,0.060250000000000005
Peer-review,policy_specific_mean,8,8,0,1.728125,0.7,2.133133070492456,0.2779874999999999,0.475,6.5,6.025,100,0.02133133070492456,0.002779874999999999,0.060250000000000005
High public trust,policy_general,8,8,0,2.059375,1,2.131311530322518,0.4818449999999999,0.6000000000000001,6.5,5.9,100,0.02131311530322518,0.004818449999999999,0.059000000000000004
Measurement & modeling (1),policy_general,8,8,0,1.9,1.15,1.9714026913415157,0.4447799999999998,0.6,6.5,5.9,100,0.01971402691341516,0.004447799999999998,0.059000000000000004
Model accuracy,policy_general,8,8,0,2.1125,1.275,1.9897505227684056,0.407715,0.6,6.5,5.9,100,0.019897505227684055,0.00407715,0.059000000000000004
Former skeptics,policy_specific_mean,8,8,0,2.4,1.25,2.365375234502974,0.7413,0.65,6.5,5.85,100,0.02365375234502974,0.0074129999999999995,0.058499999999999996
Peer-review,policy_general,8,8,0,1.865625,0.9,2.045506289929918,0.35211749999999997,0.65,6.5,5.85,100,0.02045506289929918,0.0035211749999999997,0.058499999999999996
Scientist community helpers,policy_general,8,8,0,2.053125,1.2,1.942404506753715,0.5745075,0.675,6.5,5.825,100,0.01942404506753715,0.005745075,0.05825
Measurement & modeling (2),policy_specific_mean,8,8,0,1.4625,0.625,1.9881344450083278,0.29651999999999995,0.2,6,5.8,100,0.01988134445008328,0.0029651999999999994,0.057999999999999996
Model accuracy,policy_role_mean,8,8,0,2.25,1.6,1.8877424158426457,1.11195,0.7,6.5,5.8,100,0.018877424158426456,0.0111195,0.057999999999999996
Portrait Prof. Cherry,trust_post,8,8,0,2.8,1.7374999999999998,2.170829334609241,0.7598324999999996,1.225,7,5.775,100,0.02170829334609241,0.007598324999999996,0.05775
Portrait Prof. Cherry,trust_multidimensional,8,8,0,2.94375,1.9874999999999998,2.1784967785805227,1.0378199999999997,1.25,7,5.75,100,0.02178496778580523,0.010378199999999997,0.0575
Corporate reliance,policy_specific_mean,8,8,0,1.715625,0.925,1.871923070572842,0.630105,0.32499999999999996,6,5.675,100,0.01871923070572842,0.00630105,0.056749999999999995
Funding,concern_mean,8,8,0,1.575,1.15,1.8390603190604862,0.7413,0.4,6,5.6,100,0.01839060319060486,0.0074129999999999995,0.055999999999999994
Interview Prof. Sebille,policy_specific_mean,8,8,0,2.01875,1.1749999999999998,1.9670386552959684,0.2223899999999997,0.4,6,5.6,100,0.019670386552959683,0.002223899999999997,0.055999999999999994
Measurement & modeling (1),policy_specific_mean,8,8,0,1.646875,0.925,1.9041513623434156,0.5003775,0.45,6,5.55,100,0.019041513623434158,0.005003775,0.0555
Interview Prof. Maraun,policy_general,8,8,0,1.690625,0.825,1.9334433337959507,0.5003774999999999,0.475,6,5.525,100,0.019334433337959506,0.005003774999999999,0.05525
Portrait Prof. Cherry,policy_general,8,8,0,1.728125,0.825,1.9001615297878531,0.38918249999999993,0.5,6,5.5,100,0.01900161529787853,0.0038918249999999994,0.055
Social justice,trust_post,8,8,0,2.4250000000000003,1.575,1.888688131254829,1.0748849999999996,0.6000000000000001,6.050000000000001,5.450000000000001,100,0.01888688131254829,0.010748849999999997,0.054500000000000014
Former skeptics,behavior_mean,8,8,0,2.08125,1.1749999999999998,2.0892475576491303,0.44477999999999973,0.5,5.85,5.35,100,0.020892475576491303,0.004447799999999997,0.0535
Oil industry misinformation,behavior_mean,8,8,0,2.55,1.725,1.9992855866891195,0.7413,1,6.35,5.35,100,0.019992855866891195,0.0074129999999999995,0.0535
Social justice,trust_multidimensional,8,8,0,2.69375,1.45,2.2463363028972947,0.9266249999999999,0.65,6,5.35,100,0.022463363028972946,0.009266249999999998,0.0535
Funding,policy_general,8,8,0,1.75,1.1,1.7468338705866027,0.70423500000000006,0.45,5.5,5.05,100,0.017468338705866025,0.00704235,0.050499999999999996
Social justice,behavior_mean,8,8,0,1.7,1.175,1.743149858322981,1.000755,0.04999999999999999,5,4.95,100,0.01743149858322981,0.01000755,0.0495
Measurement & modeling (2),behavior_mean,8,8,0,1.33125,0.5750000000000001,1.7414972006868112,0.29652000000000006,0.1,5,4.9,100,0.01741497200686811,0.0029652000000000007,0.049
Measurement & modeling (2),newsletter_signup,8,8,0,0.01225,0.006,0.016022305880062513,0.0025945499999999997,0.0015,0.05,0.0485,1,0.016022305880062513,0.0025945499999999997,0.0485
Funding,trust_multidimensional,8,8,0,2.603125,2.1,1.542750182304316,1.000755,0.725,5.5,4.775,100,0.01542750182304316,0.01000755,0.04775
Interview Prof. Maraun,behavior_mean,8,8,0,1.503125,0.8,1.7187224023758378,0.4818450000000001,0.275,5,4.725,100,0.017187224023758378,0.004818450000000001,0.04724999999999999
Funding,trust_post,8,8,0,2.028125,1.8,1.5342190603039711,1.1675475,0,4.7,4.7,100,0.015342190603039712,0.011675475,0.047
Model accuracy,inst_trust_mean,8,8,0,1.90625,1.1,1.7998883893968853,0.333585,0.30000000000000004,5,4.7,100,0.017998883893968854,0.00333585,0.047
Social justice,inst_trust_mean,8,8,0,1.60625,0.8250000000000001,1.6308274630645985,0.555975,0.30000000000000004,5,4.7,100,0.016308274630645984,0.00555975,0.047
Portrait Prof. Cherry,funding_perceptions,8,8,0,1.546875,0.9874999999999999,1.4982988865948705,0.7412999999999998,0.325,5,4.675,100,0.014982988865948706,0.007412999999999999,0.04675
High public trust,behavior_mean,8,8,0,1.540625,0.8125,1.6977893978010683,0.46331249999999996,0.35,5,4.65,100,0.016977893978010684,0.004633124999999999,0.04650000000000001
Corporate reliance,newsletter_signup,8,8,0,0.0144375,0.00925,0.014943793503850162,0.007412999999999999,0.0035,0.05,0.0465,1,0.014943793503850162,0.007412999999999999,0.0465
Social justice,newsletter_signup,8,8,0,0.017,0.013999999999999999,0.01479623504235356,0.008895600000000002,0.0035,0.05,0.0465,1,0.01479623504235356,0.008895600000000002,0.0465
Consensus,policy_specific_mean,8,8,0,2.046875,1.3250000000000002,1.6139148001498893,0.5745075000000003,0.875,5.5,4.625,100,0.016139148001498894,0.005745075000000003,0.04625
Portrait Prof. Cherry,behavior_mean,8,8,0,1.4875,0.8125,1.6506492229249852,0.46331249999999996,0.375,5,4.625,100,0.016506492229249853,0.004633124999999999,0.04625
High public trust,newsletter_signup,8,8,0,0.014687500000000001,0.01,0.014925858434274393,0.0055597500000000005,0.004,0.05,0.046,1,0.014925858434274393,0.0055597500000000005,0.046
Peer-review,behavior_mean,8,8,0,1.425,0.5625,1.681039219394615,0.16679249999999998,0.4,5,4.6,100,0.01681039219394615,0.0016679249999999998,0.046
Funding,donation_ams,8,8,0,0.1875,0.135,0.15647911773049555,0.0704235,0.045,0.5,0.455,10,0.015647911773049555,0.00704235,0.0455
Measurement & modeling (1),behavior_mean,8,8,0,1.56875,0.8,1.6773570835437175,0.37065,0.45,5,4.55,100,0.016773570835437176,0.0037064999999999997,0.0455
Measurement & modeling (2),donation_ams,8,8,0,0.164375,0.095,0.15658036503433537,0.03706499999999999,0.045,0.5,0.455,10,0.015658036503433538,0.003706499999999999,0.0455
Measurement & modeling (2),inst_trust_mean,8,8,0,1.6187500000000001,0.775,1.775817216301916,0.44478000000000006,0.45,5,4.55,100,0.01775817216301916,0.004447800000000001,0.0455
Peer-review,funding_perceptions,8,8,0,1.734375,1.125,1.5707674136730563,0.6857025,0.45,5,4.55,100,0.015707674136730562,0.006857025,0.0455
Social justice,distrust_post,8,8,0,-2.00625,-1.425,1.5456014779274212,1.1490150000000001,-5,-0.45,4.55,100,0.015456014779274212,0.011490150000000001,0.0455
Corporate reliance,funding_perceptions,8,8,0,1.740625,1.2,1.4392419569739778,0.6301049999999999,0.475,5,4.525,100,0.014392419569739778,0.006301049999999999,0.045250000000000005
Corporate reliance,inst_trust_mean,8,8,0,1.765625,1.1,1.6851736610382748,0.66717,0.475,5,4.525,100,0.016851736610382747,0.0066717,0.045250000000000005
Consensus,newsletter_signup,8,8,0,0.016875,0.0125,0.014314702731307916,0.007413000000000001,0.005,0.05,0.045000000000000005,1,0.014314702731307916,0.007413000000000001,0.045000000000000005
Former skeptics,newsletter_signup,8,8,0,0.0184375,0.0125,0.014573551140924536,0.0074129999999999995,0.005,0.05,0.045000000000000005,1,0.014573551140924536,0.0074129999999999995,0.045000000000000005
Interview Prof. Sebille,newsletter_signup,8,8,0,0.0188125,0.017750000000000002,0.013752759463363812,0.0074129999999999995,0.005,0.05,0.045000000000000005,1,0.013752759463363812,0.0074129999999999995,0.045000000000000005
Measurement & modeling (1),newsletter_signup,8,8,0,0.0151875,0.010249999999999995,0.014456677893426475,0.0029652,0.005,0.05,0.045000000000000005,1,0.014456677893426475,0.0029652,0.045000000000000005
Oil industry misinformation,newsletter_signup,8,8,0,0.02125,0.0175,0.014025487004531633,0.01000755,0.005,0.05,0.045000000000000005,1,0.014025487004531633,0.01000755,0.045000000000000005
Peer-review,newsletter_signup,8,8,0,0.013875,0.0075,0.015273108954723566,0.0037064999999999993,0.005,0.05,0.045000000000000005,1,0.015273108954723566,0.0037064999999999993,0.045000000000000005
Consensus,behavior_mean,8,8,0,1.79375,1.1749999999999998,1.5307415336552226,0.51891,0.5,5,4.5,100,0.015307415336552227,0.0051890999999999994,0.045
Corporate reliance,behavior_mean,8,8,0,1.578125,0.8125,1.6253262035225862,0.29652,0.5,5,4.5,100,0.01625326203522586,0.0029652,0.045
Extreme weather predictions,behavior_mean,8,8,0,1.559375,0.9125,1.5427212448416319,0.6115725,0.5,5,4.5,100,0.015427212448416319,0.006115725,0.045
Extreme weather predictions,distrust_post,8,8,0,-2.134375,-1.6,1.5082474159955133,1.3158075,-5,-0.5,4.5,100,0.015082474159955133,0.013158075,0.045
