condition,outcome,model_id,n_contributors,n_nonmissing,n_missing,mean,median,sd,mad,min,max,range,scale_width,sd_per_scale,mad_per_scale,range_per_scale
Oil industry misinformation,policy_specific_mean,claude-haiku-4-5,2,2,0,8.2,8.2,4.808326112068523,5.040839999999999,4.8,11.6,6.8,100,0.04808326112068523,0.05040839999999999,0.068
Former skeptics,policy_specific_mean,claude-haiku-4-5,2,2,0,5.85,5.85,4.596194077712559,4.8184499999999995,2.6,9.1,6.5,100,0.045961940777125586,0.04818449999999999,0.065
Former skeptics,policy_role_mean,claude-haiku-4-5,2,2,0,5.9,5.9,4.242640687119286,4.4478,2.9,8.9,6,100,0.042426406871192854,0.044478,0.06
Funding,trust_post,gpt-4o-mini,2,2,0,0,0,4.242640687119285,4.4478,-3,3,6,100,0.04242640687119285,0.044478,0.06
Oil industry misinformation,policy_role_mean,claude-haiku-4-5,2,2,0,9.1,9.1,4.242640687119285,4.4478,6.1,12.1,6,100,0.04242640687119285,0.044478,0.06
Oil industry misinformation,belief_post,claude-haiku-4-5,2,2,0,9.55,9.55,3.889087296526012,4.0771500000000005,6.8,12.3,5.500000000000001,100,0.03889087296526012,0.0407715,0.05500000000000001
Oil industry misinformation,inst_trust_mean,claude-haiku-4-5,2,2,0,8.65,8.65,3.8890872965260113,4.07715,5.9,11.4,5.5,100,0.038890872965260115,0.040771499999999995,0.055
Oil industry misinformation,funding_perceptions,claude-haiku-4-5,2,2,0,6.949999999999999,6.949999999999999,3.889087296526011,4.077149999999999,4.2,9.7,5.499999999999999,100,0.03889087296526011,0.04077149999999999,0.05499999999999999
Former skeptics,funding_perceptions,claude-haiku-4-5,2,2,0,5.1,5.1,3.8183766184073566,4.00302,2.4,7.8,5.4,100,0.03818376618407357,0.0400302,0.054000000000000006
Former skeptics,behavior_mean,claude-haiku-4-5,2,2,0,5.85,5.85,3.747665940288702,3.9288899999999995,3.2,8.5,5.3,100,0.03747665940288702,0.039288899999999995,0.053
Oil industry misinformation,concern_mean,claude-haiku-4-5,2,2,0,7.6499999999999995,7.6499999999999995,3.6062445840513924,3.7806299999999995,5.1,10.2,5.1,100,0.03606244584051392,0.037806299999999994,0.051
Extreme weather predictions,newsletter_signup,gpt-4o-mini,2,2,0,0.07500000000000001,0.07500000000000001,0.03535533905932738,0.037065,0.05,0.1,0.05,1,0.03535533905932738,0.037065,0.05
Funding,belief_post,gpt-4o-mini,2,2,0,7.5,7.5,3.5355339059327378,3.7064999999999997,5,10,5,100,0.035355339059327376,0.037064999999999994,0.05
High public trust,donation_ams,gpt-4o-mini,2,2,0,0.75,0.75,0.3535533905932738,0.37065,0.5,1,0.5,10,0.035355339059327376,0.037065,0.05
Interview Prof. Maraun,donation_ams,gpt-4o-mini,2,2,0,0.75,0.75,0.3535533905932738,0.37065,0.5,1,0.5,10,0.035355339059327376,0.037065,0.05
Interview Prof. Maraun,newsletter_signup,gpt-4o-mini,2,2,0,0.07500000000000001,0.07500000000000001,0.03535533905932738,0.037065,0.05,0.1,0.05,1,0.03535533905932738,0.037065,0.05
Interview Prof. Sebille,trust_post,gpt-4o-mini,2,2,0,7.5,7.5,3.5355339059327378,3.7064999999999997,5,10,5,100,0.035355339059327376,0.037064999999999994,0.05
Model accuracy,donation_ams,gpt-4o-mini,2,2,0,0.75,0.75,0.3535533905932738,0.37065,0.5,1,0.5,10,0.035355339059327376,0.037065,0.05
Oil industry misinformation,belief_post,gpt-4o-mini,2,2,0,12.5,12.5,3.5355339059327378,3.7064999999999997,10,15,5,100,0.035355339059327376,0.037064999999999994,0.05
Oil industry misinformation,distrust_post,gpt-4o-mini,2,2,0,-17.5,-17.5,3.5355339059327378,3.7064999999999997,-20,-15,5,100,0.035355339059327376,0.037064999999999994,0.05
Oil industry misinformation,donation_ams,claude-haiku-4-5,2,2,0,0.6,0.6,0.3535533905932738,0.37065,0.35,0.85,0.5,10,0.035355339059327376,0.037065,0.05
Oil industry misinformation,donation_ams,gpt-4o-mini,2,2,0,0.75,0.75,0.3535533905932738,0.37065,0.5,1,0.5,10,0.035355339059327376,0.037065,0.05
Oil industry misinformation,funding_perceptions,gpt-4o-mini,2,2,0,7.5,7.5,3.5355339059327378,3.7064999999999997,5,10,5,100,0.035355339059327376,0.037064999999999994,0.05
Oil industry misinformation,policy_specific_mean,gpt-4o-mini,2,2,0,7.5,7.5,3.5355339059327378,3.7064999999999997,5,10,5,100,0.035355339059327376,0.037064999999999994,0.05
Portrait Prof. Cherry,newsletter_signup,gpt-4o-mini,2,2,0,0.07500000000000001,0.07500000000000001,0.03535533905932738,0.037065,0.05,0.1,0.05,1,0.03535533905932738,0.037065,0.05
Scientist community helpers,newsletter_signup,gpt-4o-mini,2,2,0,0.07500000000000001,0.07500000000000001,0.03535533905932738,0.037065,0.05,0.1,0.05,1,0.03535533905932738,0.037065,0.05
Social justice,policy_general,gpt-4o-mini,2,2,0,9.5,9.5,3.5355339059327378,3.7064999999999997,7,12,5,100,0.035355339059327376,0.037064999999999994,0.05
Oil industry misinformation,behavior_mean,claude-haiku-4-5,2,2,0,6.35,6.35,3.040559159102154,3.1875899999999997,4.2,8.5,4.3,100,0.03040559159102154,0.0318759,0.043
Former skeptics,distrust_post,claude-haiku-4-5,2,2,0,-4.15,-4.15,2.899137802864845,3.0393299999999996,-6.2,-2.1,4.1,100,0.02899137802864845,0.030393299999999998,0.040999999999999995
Funding,funding_perceptions,claude-haiku-4-5,2,2,0,6.1499999999999995,6.1499999999999995,2.899137802864845,3.0393299999999996,4.1,8.2,4.1,100,0.02899137802864845,0.030393299999999998,0.040999999999999995
Consensus,policy_role_mean,gpt-4o-mini,2,2,0,8,8,2.8284271247461903,2.9652,6,10,4,100,0.0282842712474619,0.029651999999999998,0.04
Consensus,trust_multidimensional,gpt-4o-mini,2,2,0,6,6,2.8284271247461903,2.9652,4,8,4,100,0.0282842712474619,0.029651999999999998,0.04
Corporate reliance,inst_trust_mean,gpt-4o-mini,2,2,0,5,5,2.8284271247461903,2.9652,3,7,4,100,0.0282842712474619,0.029651999999999998,0.04
Former skeptics,policy_general,gpt-4o-mini,2,2,0,8,8,2.8284271247461903,2.9652,6,10,4,100,0.0282842712474619,0.029651999999999998,0.04
Funding,concern_mean,gpt-4o-mini,2,2,0,6,6,2.8284271247461903,2.9652,4,8,4,100,0.0282842712474619,0.029651999999999998,0.04
Measurement & modeling (1),inst_trust_mean,gpt-4o-mini,2,2,0,5,5,2.8284271247461903,2.9652,3,7,4,100,0.0282842712474619,0.029651999999999998,0.04
Measurement & modeling (2),inst_trust_mean,gpt-4o-mini,2,2,0,5,5,2.8284271247461903,2.9652,3,7,4,100,0.0282842712474619,0.029651999999999998,0.04
Model accuracy,inst_trust_mean,gpt-4o-mini,2,2,0,5,5,2.8284271247461903,2.9652,3,7,4,100,0.0282842712474619,0.029651999999999998,0.04
Social justice,inst_trust_mean,gpt-4o-mini,2,2,0,5,5,2.8284271247461903,2.9652,3,7,4,100,0.0282842712474619,0.029651999999999998,0.04
Social justice,policy_role_mean,gpt-4o-mini,2,2,0,8,8,2.8284271247461903,2.9652,6,10,4,100,0.0282842712474619,0.029651999999999998,0.04
Social justice,trust_multidimensional,gpt-4o-mini,2,2,0,6,6,2.8284271247461903,2.9652,4,8,4,100,0.0282842712474619,0.029651999999999998,0.04
Interview Prof. Sebille,inst_trust_mean,claude-haiku-4-5,2,2,0,4.85,4.85,2.7577164466275352,2.8910699999999996,2.9,6.8,3.9,100,0.027577164466275353,0.028910699999999998,0.039
Interview Prof. Sebille,trust_multidimensional,claude-haiku-4-5,2,2,0,6.8,6.8,2.4041630560342617,2.52042,5.1,8.5,3.4000000000000004,100,0.024041630560342617,0.0252042,0.034
Social justice,policy_role_mean,gemini-2.5-flash-lite,2,2,0,2.3,2.3,2.4041630560342617,2.5204199999999997,0.6,4,3.4,100,0.024041630560342617,0.025204199999999996,0.034
Corporate reliance,policy_role_mean,claude-haiku-4-5,2,2,0,4.2,4.2,2.262741699796952,2.3721599999999996,2.6,5.8,3.1999999999999997,100,0.02262741699796952,0.023721599999999995,0.032
Social justice,trust_post,gemini-2.5-flash-lite,2,2,0,1.9,1.9,2.262741699796952,2.37216,0.3,3.5,3.2,100,0.02262741699796952,0.0237216,0.032
Interview Prof. Sebille,trust_post,claude-haiku-4-5,2,2,0,6.35,6.35,2.192031021678298,2.2980300000000002,4.8,7.9,3.1000000000000005,100,0.02192031021678298,0.022980300000000002,0.031000000000000007
Model accuracy,newsletter_signup,gpt-4o-mini,2,2,0,0.035,0.035,0.021213203435596427,0.022239000000000002,0.02,0.05,0.030000000000000002,1,0.021213203435596427,0.022239000000000002,0.030000000000000002
Extreme weather predictions,inst_trust_mean,gpt-4o-mini,2,2,0,8.5,8.5,2.1213203435596424,2.2239,7,10,3,100,0.021213203435596423,0.022239,0.03
Former skeptics,trust_post,gpt-4o-mini,2,2,0,8.5,8.5,2.1213203435596424,2.2239,7,10,3,100,0.021213203435596423,0.022239,0.03
Funding,policy_general,gpt-4o-mini,2,2,0,5.5,5.5,2.1213203435596424,2.2239,4,7,3,100,0.021213203435596423,0.022239,0.03
Funding,policy_role_mean,gpt-4o-mini,2,2,0,4.5,4.5,2.1213203435596424,2.2239,3,6,3,100,0.021213203435596423,0.022239,0.03
High public trust,inst_trust_mean,gpt-4o-mini,2,2,0,8.5,8.5,2.1213203435596424,2.2239,7,10,3,100,0.021213203435596423,0.022239,0.03
Interview Prof. Sebille,inst_trust_mean,gpt-4o-mini,2,2,0,8.5,8.5,2.1213203435596424,2.2239,7,10,3,100,0.021213203435596423,0.022239,0.03
Interview Prof. Sebille,policy_general,gpt-4o-mini,2,2,0,8.5,8.5,2.1213203435596424,2.2239,7,10,3,100,0.021213203435596423,0.022239,0.03
Interview Prof. Sebille,policy_role_mean,claude-haiku-4-5,2,2,0,5.7,5.7,2.1213203435596424,2.2239,4.2,7.2,3,100,0.021213203435596423,0.022239,0.03
Oil industry misinformation,policy_general,gpt-4o-mini,2,2,0,8.5,8.5,2.1213203435596424,2.2239,7,10,3,100,0.021213203435596423,0.022239,0.03
Peer-review,inst_trust_mean,gpt-4o-mini,2,2,0,8.5,8.5,2.1213203435596424,2.2239,7,10,3,100,0.021213203435596423,0.022239,0.03
Scientist community helpers,inst_trust_mean,gpt-4o-mini,2,2,0,8.5,8.5,2.1213203435596424,2.2239,7,10,3,100,0.021213203435596423,0.022239,0.03
Social justice,funding_perceptions,gemini-2.5-flash-lite,2,2,0,2,2,2.1213203435596424,2.2239,0.5,3.5,3,100,0.021213203435596423,0.022239,0.03
Scientist community helpers,trust_post,claude-haiku-4-5,2,2,0,5.5,5.5,1.9798989873223336,2.0756400000000004,4.1,6.9,2.8000000000000007,100,0.019798989873223337,0.020756400000000005,0.028000000000000008
Former skeptics,donation_ams,claude-haiku-4-5,2,2,0,0.315,0.315,0.19091883092036785,0.200151,0.18,0.45,0.27,10,0.019091883092036785,0.0200151,0.027000000000000003
Scientist community helpers,trust_multidimensional,claude-haiku-4-5,2,2,0,5.85,5.85,1.9091883092036785,2.00151,4.5,7.2,2.7,100,0.019091883092036785,0.0200151,0.027000000000000003
Social justice,trust_multidimensional,gemini-2.5-flash-lite,2,2,0,1.65,1.65,1.9091883092036783,2.00151,0.3,3,2.7,100,0.019091883092036785,0.0200151,0.027000000000000003
Social justice,policy_general,gemini-2.5-flash-lite,2,2,0,1.7,1.7,1.8384776310850235,1.9273799999999996,0.4,3,2.6,100,0.018384776310850236,0.019273799999999997,0.026000000000000002
Funding,trust_multidimensional,claude-haiku-4-5,2,2,0,5.5,5.5,1.8384776310850233,1.9273799999999996,4.2,6.8,2.5999999999999996,100,0.018384776310850233,0.019273799999999997,0.025999999999999995
Former skeptics,newsletter_signup,claude-haiku-4-5,2,2,0,0.0275,0.0275,0.01767766952966369,0.0185325,0.015,0.04,0.025,1,0.01767766952966369,0.0185325,0.025
Interview Prof. Sebille,trust_multidimensional,gemini-2.5-pro,2,2,0,3.75,3.75,1.7677669529663689,1.8532499999999998,2.5,5,2.5,100,0.017677669529663688,0.018532499999999997,0.025
Social justice,distrust_post,gemini-2.5-flash-lite,2,2,0,-1.75,-1.75,1.7677669529663689,1.8532499999999998,-3,-0.5,2.5,100,0.017677669529663688,0.018532499999999997,0.025
Funding,trust_post,claude-haiku-4-5,2,2,0,4.7,4.7,1.6970562748477143,1.7791200000000003,3.5,5.9,2.4000000000000004,100,0.016970562748477143,0.017791200000000004,0.024000000000000004
Oil industry misinformation,newsletter_signup,claude-haiku-4-5,2,2,0,0.03,0.03,0.016970562748477143,0.017791200000000004,0.018,0.042,0.024000000000000004,1,0.016970562748477143,0.017791200000000004,0.024000000000000004
Oil industry misinformation,distrust_post,gemini-3.1-flash-lite,2,2,0,-4.3,-4.3,1.697056274847714,1.7791199999999998,-5.5,-3.1,2.4,100,0.01697056274847714,0.017791199999999997,0.024
High public trust,trust_multidimensional,claude-haiku-4-5,2,2,0,7,7,1.6970562748477136,1.7791199999999996,5.8,8.2,2.3999999999999995,100,0.016970562748477136,0.017791199999999997,0.023999999999999994
Measurement & modeling (2),trust_multidimensional,claude-haiku-4-5,2,2,0,5.25,5.25,1.6263455967290599,1.7049900000000004,4.1,6.4,2.3000000000000007,100,0.016263455967290598,0.017049900000000003,0.023000000000000007
High public trust,concern_mean,claude-haiku-4-5,2,2,0,3.9499999999999997,3.9499999999999997,1.6263455967290592,1.7049899999999998,2.8,5.1,2.3,100,0.01626345596729059,0.017049899999999996,0.023
High public trust,distrust_post,claude-haiku-4-5,2,2,0,-5.199999999999999,-5.199999999999999,1.5556349186104046,1.63086,-6.3,-4.1,2.2,100,0.015556349186104046,0.0163086,0.022000000000000002
Model accuracy,trust_multidimensional,claude-haiku-4-5,2,2,0,5.300000000000001,5.300000000000001,1.5556349186104046,1.63086,4.2,6.4,2.2,100,0.015556349186104046,0.0163086,0.022000000000000002
Scientist community helpers,policy_role_mean,claude-haiku-4-5,2,2,0,5.300000000000001,5.300000000000001,1.5556349186104046,1.63086,4.2,6.4,2.2,100,0.015556349186104046,0.0163086,0.022000000000000002
Social justice,policy_specific_mean,gemini-2.5-flash-lite,2,2,0,1.4,1.4,1.5556349186104046,1.63086,0.3,2.5,2.2,100,0.015556349186104046,0.0163086,0.022000000000000002
Funding,policy_general,claude-haiku-4-5,2,2,0,3.2,3.2,1.5556349186104044,1.6308599999999998,2.1,4.3,2.1999999999999997,100,0.015556349186104044,0.016308599999999996,0.022
Measurement & modeling (2),trust_post,claude-haiku-4-5,2,2,0,4.85,4.85,1.4849242404917502,1.5567300000000004,3.8,5.9,2.1000000000000005,100,0.014849242404917503,0.015567300000000004,0.021000000000000005
Extreme weather predictions,trust_multidimensional,claude-haiku-4-5,2,2,0,4.15,4.15,1.4849242404917498,1.55673,3.1,5.2,2.1,100,0.014849242404917497,0.0155673,0.021
Funding,policy_role_mean,gemini-2.5-pro,2,2,0,0.050000000000000044,0.050000000000000044,1.4849242404917498,1.55673,-1,1.1,2.1,100,0.014849242404917497,0.0155673,0.021
Social justice,concern_mean,gemini-2.5-flash-lite,2,2,0,1.45,1.45,1.4849242404917498,1.5567299999999997,0.4,2.5,2.1,100,0.014849242404917497,0.015567299999999997,0.021
Social justice,inst_trust_mean,claude-haiku-4-5,2,2,0,3.1500000000000004,3.1500000000000004,1.4849242404917498,1.55673,2.1,4.2,2.1,100,0.014849242404917497,0.0155673,0.021
Corporate reliance,trust_multidimensional,claude-haiku-4-5,2,2,0,5.25,5.25,1.4849242404917495,1.5567299999999997,4.2,6.3,2.0999999999999996,100,0.014849242404917496,0.015567299999999997,0.020999999999999998
Model accuracy,inst_trust_mean,claude-haiku-4-5,2,2,0,4.55,4.55,1.4849242404917495,1.5567299999999997,3.5,5.6,2.0999999999999996,100,0.014849242404917496,0.015567299999999997,0.020999999999999998
Consensus,belief_post,gemini-2.5-pro,2,2,0,5,5,1.4142135623730951,1.4826,4,6,2,100,0.01414213562373095,0.014825999999999999,0.02
Corporate reliance,policy_role_mean,gpt-4o-mini,2,2,0,7,7,1.4142135623730951,1.4826,6,8,2,100,0.01414213562373095,0.014825999999999999,0.02
Corporate reliance,policy_specific_mean,gpt-4o-mini,2,2,0,6,6,1.4142135623730951,1.4826,5,7,2,100,0.01414213562373095,0.014825999999999999,0.02
Corporate reliance,trust_multidimensional,gpt-4o-mini,2,2,0,5,5,1.4142135623730951,1.4826,4,6,2,100,0.01414213562373095,0.014825999999999999,0.02
Former skeptics,belief_post,gemini-2.5-pro,2,2,0,3.5,3.5,1.4142135623730951,1.4826,2.5,4.5,2,100,0.01414213562373095,0.014825999999999999,0.02
Funding,behavior_mean,gpt-4o-mini,2,2,0,4,4,1.4142135623730951,1.4826,3,5,2,100,0.01414213562373095,0.014825999999999999,0.02
Funding,distrust_post,gpt-4o-mini,2,2,0,-4,-4,1.4142135623730951,1.4826,-5,-3,2,100,0.01414213562373095,0.014825999999999999,0.02
Funding,policy_specific_mean,claude-haiku-4-5,2,2,0,2.9,2.9,1.4142135623730951,1.4826,1.9,3.9,2,100,0.01414213562373095,0.014825999999999999,0.02
Funding,policy_specific_mean,gpt-4o-mini,2,2,0,4,4,1.4142135623730951,1.4826,3,5,2,100,0.01414213562373095,0.014825999999999999,0.02
Funding,trust_multidimensional,gpt-4o-mini,2,2,0,3,3,1.4142135623730951,1.4826,2,4,2,100,0.01414213562373095,0.014825999999999999,0.02
High public trust,trust_multidimensional,gpt-4o-mini,2,2,0,9,9,1.4142135623730951,1.4826,8,10,2,100,0.01414213562373095,0.014825999999999999,0.02
Interview Prof. Maraun,trust_multidimensional,gemini-2.5-pro,2,2,0,3.5,3.5,1.4142135623730951,1.4826,2.5,4.5,2,100,0.01414213562373095,0.014825999999999999,0.02
Interview Prof. Sebille,policy_role_mean,gpt-4o-mini,2,2,0,9,9,1.4142135623730951,1.4826,8,10,2,100,0.01414213562373095,0.014825999999999999,0.02
Measurement & modeling (1),policy_role_mean,gpt-4o-mini,2,2,0,7,7,1.4142135623730951,1.4826,6,8,2,100,0.01414213562373095,0.014825999999999999,0.02
Measurement & modeling (1),policy_specific_mean,gpt-4o-mini,2,2,0,6,6,1.4142135623730951,1.4826,5,7,2,100,0.01414213562373095,0.014825999999999999,0.02
Measurement & modeling (1),trust_multidimensional,gpt-4o-mini,2,2,0,5,5,1.4142135623730951,1.4826,4,6,2,100,0.01414213562373095,0.014825999999999999,0.02
Measurement & modeling (2),policy_role_mean,gpt-4o-mini,2,2,0,7,7,1.4142135623730951,1.4826,6,8,2,100,0.01414213562373095,0.014825999999999999,0.02
Measurement & modeling (2),policy_specific_mean,gpt-4o-mini,2,2,0,6,6,1.4142135623730951,1.4826,5,7,2,100,0.01414213562373095,0.014825999999999999,0.02
Measurement & modeling (2),trust_multidimensional,gpt-4o-mini,2,2,0,5,5,1.4142135623730951,1.4826,4,6,2,100,0.01414213562373095,0.014825999999999999,0.02
Model accuracy,trust_multidimensional,gpt-4o-mini,2,2,0,5,5,1.4142135623730951,1.4826,4,6,2,100,0.01414213562373095,0.014825999999999999,0.02
Oil industry misinformation,belief_post,gemini-2.5-flash-lite,2,2,0,2,2,1.4142135623730951,1.4826,1,3,2,100,0.01414213562373095,0.014825999999999999,0.02
Oil industry misinformation,concern_mean,gpt-4o-mini,2,2,0,9,9,1.4142135623730951,1.4826,8,10,2,100,0.01414213562373095,0.014825999999999999,0.02
Oil industry misinformation,trust_post,gemini-3.1-flash-lite,2,2,0,4.2,4.2,1.4142135623730951,1.4826,3.2,5.2,2,100,0.01414213562373095,0.014825999999999999,0.02
Portrait Prof. Cherry,trust_multidimensional,gpt-4o-mini,2,2,0,7,7,1.4142135623730951,1.4826,6,8,2,100,0.01414213562373095,0.014825999999999999,0.02
Portrait Prof. Cherry,trust_post,gpt-4o-mini,2,2,0,7,7,1.4142135623730951,1.4826,6,8,2,100,0.01414213562373095,0.014825999999999999,0.02
Scientist community helpers,trust_multidimensional,gpt-4o-mini,2,2,0,9,9,1.4142135623730951,1.4826,8,10,2,100,0.01414213562373095,0.014825999999999999,0.02
Consensus,donation_ams,gemini-2.5-pro,2,2,0,0.2,0.2,0.1414213562373095,0.14825999999999998,0.1,0.3,0.19999999999999998,10,0.01414213562373095,0.014825999999999997,0.019999999999999997
Extreme weather predictions,donation_ams,gemini-3.1-flash-lite,2,2,0,0.25,0.25,0.1414213562373095,0.14825999999999998,0.15,0.35,0.19999999999999998,10,0.01414213562373095,0.014825999999999997,0.019999999999999997
Extreme weather predictions,donation_ams,gemini-3.1-pro-preview,2,2,0,0.25,0.25,0.1414213562373095,0.14825999999999998,0.15,0.35,0.19999999999999998,10,0.01414213562373095,0.014825999999999997,0.019999999999999997
High public trust,donation_ams,gpt-5-mini,2,2,0,0.2,0.2,0.1414213562373095,0.14825999999999998,0.1,0.3,0.19999999999999998,10,0.01414213562373095,0.014825999999999997,0.019999999999999997
Peer-review,trust_post,claude-opus-4-6,2,2,0,1.575,1.575,1.308147545195113,1.371405,0.65,2.5,1.85,100,0.01308147545195113,0.01371405,0.018500000000000003
Corporate reliance,trust_post,claude-haiku-4-5,2,2,0,5,5,1.272792206135786,1.3343400000000005,4.1,5.9,1.8000000000000007,100,0.012727922061357859,0.013343400000000005,0.018000000000000006
Measurement & modeling (1),trust_post,claude-opus-4-6,2,2,0,2.3,2.3,1.2727922061357857,1.33434,1.4,3.2,1.8000000000000003,100,0.012727922061357857,0.0133434,0.018000000000000002
Interview Prof. Maraun,distrust_post,gemini-2.5-pro,2,2,0,-3.1,-3.1,1.2727922061357855,1.3343399999999999,-4,-2.2,1.7999999999999998,100,0.012727922061357855,0.013343399999999998,0.018
Interview Prof. Maraun,trust_post,gemini-2.5-pro,2,2,0,3.1,3.1,1.2727922061357855,1.3343399999999999,2.2,4,1.7999999999999998,100,0.012727922061357855,0.013343399999999998,0.018
Interview Prof. Sebille,policy_role_mean,gemini-2.5-pro,2,2,0,3.1,3.1,1.2727922061357855,1.3343399999999999,2.2,4,1.7999999999999998,100,0.012727922061357855,0.013343399999999998,0.018
Extreme weather predictions,inst_trust_mean,claude-haiku-4-5,2,2,0,3.65,3.65,1.2020815280171309,1.26021,2.8,4.5,1.7000000000000002,100,0.012020815280171309,0.0126021,0.017
High public trust,behavior_mean,claude-haiku-4-5,2,2,0,3.35,3.35,1.2020815280171309,1.26021,2.5,4.2,1.7000000000000002,100,0.012020815280171309,0.0126021,0.017
High public trust,distrust_post,gpt-5-mini,2,2,0,-2.15,-2.15,1.2020815280171306,1.2602099999999998,-3,-1.3,1.7,100,0.012020815280171307,0.012602099999999998,0.017
High public trust,trust_post,claude-haiku-4-5,2,2,0,7.050000000000001,7.050000000000001,1.2020815280171309,1.26021,6.2,7.9,1.7000000000000002,100,0.012020815280171309,0.0126021,0.017
Interview Prof. Maraun,trust_multidimensional,claude-opus-4-6,2,2,0,1.65,1.65,1.2020815280171306,1.2602099999999998,0.8,2.5,1.7,100,0.012020815280171307,0.012602099999999998,0.017
