condition,outcome,n_families,median_ate,mean_ate,min_ate,max_ate,mad_ate,n_models,native_min,native_max
Interview Prof. Maraun,concern_mean,3,0.8,0.6833333333333333,0.4,0.8500000000000001,0.07413000000000006,3,0,100
Interview Prof. Maraun,distrust_post,3,-1.4500000000000002,-1.6250000000000002,-2.075,-1.35,0.14826000000000011,3,0,100
Interview Prof. Maraun,donation_ams,3,0.1,0.09666666666666666,0.04,0.15,0.07412999999999997,3,0,10
Interview Prof. Maraun,funding_perceptions,3,1.075,1.1916666666666667,0.65,1.85,0.6301049999999999,3,0,100
Interview Prof. Maraun,inst_trust_mean,3,0.725,0.9249999999999999,0.65,1.4,0.11119499999999993,3,0,100
Interview Prof. Maraun,newsletter_signup,3,0.0075,0.007166666666666667,0.0045000000000000005,0.0095,0.0029652,3,0,1
Interview Prof. Maraun,policy_general,3,0.65,0.6916666666666667,0.475,0.95,0.25945500000000005,3,0,100
Interview Prof. Maraun,policy_role_mean,3,1.525,1.425,1.15,1.6,0.11119500000000025,3,0,100
Interview Prof. Maraun,policy_specific_mean,3,0.525,0.5833333333333334,0.375,0.85,0.22239000000000003,3,0,100
Interview Prof. Maraun,trust_multidimensional,3,2.15,2.091666666666667,1.65,2.475,0.48184500000000025,3,0,100
Interview Prof. Maraun,trust_post,3,1.75,1.7583333333333335,1.4500000000000002,2.075,0.44477999999999973,3,0,100
Interview Prof. Sebille,behavior_mean,3,1.1,1.1666666666666667,0.75,1.65,0.5189100000000001,3,0,100
Interview Prof. Sebille,belief_post,3,1.4500000000000002,1.6,1.35,2,0.14826000000000011,3,0,100
Interview Prof. Sebille,concern_mean,3,1.7,1.6833333333333333,1.5,1.8499999999999999,0.22238999999999987,3,0,100
Interview Prof. Sebille,distrust_post,3,-1.65,-1.7166666666666668,-2.1500000000000004,-1.35,0.44477999999999973,3,0,100
Interview Prof. Sebille,donation_ams,3,0.15,0.14333333333333334,0.08,0.2,0.07413000000000002,3,0,10
Interview Prof. Sebille,funding_perceptions,3,1.3,1.3166666666666667,1.05,1.6,0.37065,3,0,100
Interview Prof. Sebille,inst_trust_mean,3,1,1.05,0.8500000000000001,1.2999999999999998,0.22238999999999987,3,0,100
Interview Prof. Sebille,newsletter_signup,3,0.01,0.013333333333333334,0.01,0.02,0,3,0,1
Interview Prof. Sebille,policy_general,3,1.45,1.4666666666666666,1.3,1.65,0.22238999999999987,3,0,100
Interview Prof. Sebille,policy_role_mean,3,2.05,1.95,1.75,2.05,0,3,0,100
Interview Prof. Sebille,policy_specific_mean,3,1.15,1.1333333333333333,1.05,1.2,0.07413000000000006,3,0,100
Interview Prof. Sebille,trust_multidimensional,3,2.0999999999999996,2.2333333333333334,1.9,2.7,0.29651999999999956,3,0,100
Interview Prof. Sebille,trust_post,3,2,2.033333333333333,1.65,2.45,0.5189100000000001,3,0,100
Measurement & modeling (1),behavior_mean,3,0.75,0.8,0.65,1,0.14825999999999995,3,0,100
Measurement & modeling (1),belief_post,3,1.5,1.6166666666666667,1.35,2,0.22238999999999987,3,0,100
Measurement & modeling (1),concern_mean,3,1.1,1.1166666666666667,1,1.25,0.14826000000000011,3,0,100
Measurement & modeling (1),distrust_post,3,-1.9,-1.9833333333333334,-2.5,-1.55,0.5189099999999998,3,0,100
Measurement & modeling (1),donation_ams,3,0.135,0.135,0.08499999999999999,0.185,0.07412999999999997,3,0,10
Measurement & modeling (1),funding_perceptions,3,1.6,1.5166666666666666,1.2,1.75,0.22238999999999987,3,0,100
Measurement & modeling (1),inst_trust_mean,3,1.25,1.2833333333333334,1.1,1.5,0.22238999999999987,3,0,100
Measurement & modeling (1),newsletter_signup,3,0.0085,0.009000000000000001,0.0085,0.01,0,3,0,1
Measurement & modeling (1),policy_general,3,1.15,1.0499999999999998,0.85,1.15,0,3,0,100
Measurement & modeling (1),policy_role_mean,3,1.65,1.6666666666666667,1.5,1.85,0.22238999999999987,3,0,100
Measurement & modeling (1),policy_specific_mean,3,0.9,0.8333333333333334,0.65,0.95,0.07412999999999989,3,0,100
Measurement & modeling (1),trust_multidimensional,3,2.25,2.3,2,2.65,0.37065,3,0,100
Measurement & modeling (1),trust_post,3,2.3,2.25,1.9,2.55,0.37065,3,0,100
Measurement & modeling (2),behavior_mean,3,0.55,0.41666666666666674,0.1,0.6000000000000001,0.07413000000000006,3,0,100
Measurement & modeling (2),belief_post,3,0.8999999999999999,0.8333333333333333,0.6,1,0.14826000000000011,3,0,100
Measurement & modeling (2),concern_mean,3,0.55,0.55,0.3,0.8,0.37065,3,0,100
Measurement & modeling (2),distrust_post,3,-1.15,-1.2166666666666666,-1.5,-1,0.22238999999999987,3,0,100
Measurement & modeling (2),donation_ams,3,0.07500000000000001,0.08166666666666667,0.045,0.125,0.04447800000000002,3,0,10
Measurement & modeling (2),funding_perceptions,3,0.6,0.8166666666666667,0.5,1.35,0.14825999999999995,3,0,100
Measurement & modeling (2),inst_trust_mean,3,0.5,0.6833333333333333,0.44999999999999996,1.1,0.07413000000000006,3,0,100
Measurement & modeling (2),newsletter_signup,3,0.004,0.004166666666666667,0.0015,0.007,0.0037064999999999997,3,0,1
Measurement & modeling (2),policy_general,3,0.44999999999999996,0.55,0.3,0.9,0.22238999999999995,3,0,100
Measurement & modeling (2),policy_role_mean,3,0.8,1,0.75,1.45,0.07413000000000006,3,0,100
Measurement & modeling (2),policy_specific_mean,3,0.4,0.45,0.2,0.75,0.29652,3,0,100
Measurement & modeling (2),trust_multidimensional,3,1.5,1.5833333333333333,1.35,1.9,0.22238999999999987,3,0,100
Measurement & modeling (2),trust_post,3,1.4,1.4166666666666665,1.2,1.65,0.2965199999999999,3,0,100
Model accuracy,behavior_mean,3,0.7,0.7833333333333333,0.65,1,0.07412999999999989,3,0,100
Model accuracy,belief_post,3,2,1.9333333333333333,1.5,2.3,0.44477999999999973,3,0,100
Model accuracy,concern_mean,3,1.25,1.25,1,1.5,0.37065,3,0,100
Model accuracy,distrust_post,3,-1.5,-1.8833333333333333,-2.65,-1.5,0,3,0,100
Model accuracy,donation_ams,3,0.15,0.13166666666666665,0.06,0.185,0.051891,3,0,10
Model accuracy,funding_perceptions,3,1.25,1.25,1.15,1.35,0.14826000000000011,3,0,100
Model accuracy,inst_trust_mean,3,1.1,1.1333333333333333,0.95,1.35,0.2223900000000002,3,0,100
Model accuracy,newsletter_signup,3,0.0075,0.007833333333333333,0.006,0.01,0.002223899999999999,3,0,1
Model accuracy,policy_general,3,1.25,1.25,1.2,1.3,0.07413000000000006,3,0,100
Model accuracy,policy_role_mean,3,1.4,1.4166666666666667,1.05,1.8,0.5189099999999998,3,0,100
Model accuracy,policy_specific_mean,3,0.85,0.9,0.85,1,0,3,0,100
Model accuracy,trust_multidimensional,3,2,2.1,1.65,2.65,0.5189100000000001,3,0,100
Model accuracy,trust_post,3,1.8,2.1333333333333333,1.75,2.85,0.07413000000000006,3,0,100
Oil industry misinformation,behavior_mean,3,1.25,1.4666666666666668,1.2000000000000002,1.9500000000000002,0.07412999999999974,3,0,100
Oil industry misinformation,belief_post,3,3,2.75,1.9,3.35,0.5189100000000001,3,0,100
Oil industry misinformation,concern_mean,3,2.5,2.2666666666666666,1.65,2.65,0.22238999999999987,3,0,100
Oil industry misinformation,distrust_post,3,-3.6,-3.3333333333333335,-4.05,-2.35,0.6671699999999996,3,0,100
Oil industry misinformation,donation_ams,3,0.15,0.17333333333333334,0.12,0.25,0.044478,3,0,10
Oil industry misinformation,funding_perceptions,3,2,1.95,1.6,2.25,0.37065,3,0,100
Oil industry misinformation,inst_trust_mean,3,1.55,1.55,1.5,1.6,0.07413000000000006,3,0,100
Oil industry misinformation,newsletter_signup,3,0.0135,0.013333333333333332,0.0115,0.015,0.002223899999999999,3,0,1
Oil industry misinformation,policy_general,3,2.25,2.1333333333333333,1.8,2.35,0.14826000000000011,3,0,100
Oil industry misinformation,policy_role_mean,3,2.6,2.45,1.75,3,0.5930399999999998,3,0,100
Oil industry misinformation,policy_specific_mean,3,1.65,1.6333333333333333,1.4,1.85,0.29652000000000023,3,0,100
Oil industry misinformation,trust_multidimensional,3,3.5,3.466666666666667,3,3.9,0.5930399999999998,3,0,100
Oil industry misinformation,trust_post,3,4,3.6333333333333333,2.6,4.3,0.44477999999999973,3,0,100
Peer-review,behavior_mean,3,0.55,0.5083333333333333,0.4,0.575,0.03706499999999987,3,0,100
Peer-review,belief_post,3,1.025,1.1583333333333332,0.9,1.55,0.18532499999999982,3,0,100
Peer-review,concern_mean,3,0.7,0.7666666666666666,0.7,0.9,0,3,0,100
Peer-review,distrust_post,3,-1.2999999999999998,-1.5999999999999999,-2.3,-1.2,0.14825999999999978,3,0,100
Peer-review,donation_ams,3,0.1,0.095,0.05,0.135,0.051891,3,0,10
Peer-review,funding_perceptions,3,0.75,0.775,0.675,0.9,0.11119499999999993,3,0,100
Peer-review,inst_trust_mean,3,1.1,0.9833333333333334,0.75,1.1,0,3,0,100
Peer-review,newsletter_signup,3,0.0055,0.006,0.005,0.0075,7.412999999999993e-4,3,0,1
Peer-review,policy_general,3,0.8,0.7916666666666667,0.675,0.9,0.14825999999999995,3,0,100
Peer-review,policy_role_mean,3,1.2,1.1666666666666665,1,1.2999999999999998,0.14825999999999978,3,0,100
Peer-review,policy_specific_mean,3,0.65,0.6083333333333333,0.475,0.7,0.07412999999999989,3,0,100
Peer-review,trust_multidimensional,3,1.75,1.8333333333333333,1.4500000000000002,2.3,0.44477999999999973,3,0,100
Peer-review,trust_post,3,1.6,1.8916666666666666,1.575,2.5,0.037065000000000195,3,0,100
Portrait Prof. Cherry,behavior_mean,3,0.7749999999999999,0.6833333333333332,0.375,0.8999999999999999,0.185325,3,0,100
Portrait Prof. Cherry,belief_post,3,0.85,0.8166666666666667,0.625,0.975,0.185325,3,0,100
Portrait Prof. Cherry,concern_mean,3,0.7,0.7,0.575,0.825,0.185325,3,0,100
Portrait Prof. Cherry,distrust_post,3,-1.6,-1.5,-1.725,-1.175,0.185325,3,0,100
Portrait Prof. Cherry,donation_ams,3,0.1,0.1,0.05,0.15000000000000002,0.07413,3,0,10
Portrait Prof. Cherry,funding_perceptions,3,0.725,0.775,0.65,0.9500000000000001,0.11119499999999993,3,0,100
Portrait Prof. Cherry,inst_trust_mean,3,0.8500000000000001,0.875,0.575,1.2,0.40771500000000016,3,0,100
Portrait Prof. Cherry,newsletter_signup,3,0.0075,0.007333333333333333,0.0045000000000000005,0.01,0.0037065000000000006,3,0,1
Portrait Prof. Cherry,policy_general,3,0.75,0.7583333333333333,0.625,0.9,0.185325,3,0,100
Portrait Prof. Cherry,policy_role_mean,3,1.75,1.5583333333333333,1.15,1.775,0.03706499999999987,3,0,100
Portrait Prof. Cherry,policy_specific_mean,3,0.575,0.65,0.525,0.8500000000000001,0.07412999999999989,3,0,100
Portrait Prof. Cherry,trust_multidimensional,3,1.925,1.7916666666666667,1.4000000000000001,2.05,0.18532499999999966,3,0,100
Portrait Prof. Cherry,trust_post,3,1.7,1.5833333333333333,1.275,1.775,0.11119499999999993,3,0,100
Scientist community helpers,behavior_mean,3,1,0.9166666666666666,0.75,1,0,3,0,100
Scientist community helpers,belief_post,3,1.2,1.1166666666666667,0.8,1.35,0.2223900000000002,3,0,100
Scientist community helpers,concern_mean,3,1.1,1.1166666666666667,1,1.25,0.14826000000000011,3,0,100
Scientist community helpers,distrust_post,3,-2.1,-2.216666666666667,-2.9,-1.65,0.6671700000000003,3,0,100
Scientist community helpers,donation_ams,3,0.15,0.15666666666666668,0.095,0.225,0.08154299999999999,3,0,10
Scientist community helpers,funding_perceptions,3,1.1,1.1666666666666667,0.85,1.55,0.37065000000000015,3,0,100
Scientist community helpers,inst_trust_mean,3,1.25,1.2833333333333334,0.8999999999999999,1.7000000000000002,0.5189100000000001,3,0,100
Scientist community helpers,newsletter_signup,3,0.011,0.010666666666666666,0.01,0.011,0,3,0,1
Scientist community helpers,policy_general,3,1.2,1.15,1.05,1.2,0,3,0,100
Scientist community helpers,policy_role_mean,3,2.3,2.3666666666666667,1.8,3,0.7412999999999996,3,0,100
Scientist community helpers,policy_specific_mean,3,1,1.0166666666666666,0.8,1.25,0.2965199999999999,3,0,100
Scientist community helpers,trust_multidimensional,3,2.75,2.8,2.15,3.5,0.8895600000000001,3,0,100
Scientist community helpers,trust_post,3,2.4,2.4833333333333334,1.95,3.1,0.6671699999999999,3,0,100
Social justice,behavior_mean,3,0.75,0.7666666666666666,0.04999999999999999,1.5,1.03782,3,0,100
Social justice,belief_post,3,0.7,0.9166666666666666,0.55,1.5,0.22238999999999987,3,0,100
Social justice,concern_mean,3,1.15,1.3166666666666667,0.9,1.9,0.3706499999999998,3,0,100
Social justice,distrust_post,3,-0.85,-0.8,-1.1,-0.44999999999999996,0.37065000000000015,3,0,100
Social justice,donation_ams,3,0.12,0.09666666666666666,0.02,0.15,0.044478,3,0,10
Social justice,funding_perceptions,3,0.8500000000000001,0.9833333333333334,0.65,1.45,0.29652000000000006,3,0,100
Social justice,inst_trust_mean,3,0.8,0.65,0.30000000000000004,0.8500000000000001,0.07413000000000006,3,0,100
Social justice,newsletter_signup,3,0.0085,0.008166666666666668,0.006,0.01,0.002223899999999999,3,0,1
Social justice,policy_general,3,1.25,1.3166666666666667,0.9,1.8,0.51891,3,0,100
Social justice,policy_role_mean,3,1.1,1.25,1.05,1.6,0.07413000000000006,3,0,100
Social justice,policy_specific_mean,3,0.8999999999999999,0.9333333333333332,0.5,1.4,0.5930399999999998,3,0,100
Social justice,trust_multidimensional,3,1,0.9500000000000001,0.65,1.2000000000000002,0.29652000000000023,3,0,100
Social justice,trust_post,3,1.1,0.9833333333333334,0.6000000000000001,1.25,0.22238999999999987,3,0,100
