condition,outcome,ate
High public trust,donation_ams,0.2425
High public trust,funding_perceptions,2.1
High public trust,inst_trust_mean,3.125
High public trust,newsletter_signup,0.013999999999999999
High public trust,policy_general,2.6
High public trust,policy_role_mean,2.825
High public trust,policy_specific_mean,2.075
High public trust,trust_multidimensional,4.75
High public trust,trust_post,4.9750000000000005
Interview Prof. Maraun,behavior_mean,2.075
Interview Prof. Maraun,belief_post,1.55
Interview Prof. Maraun,concern_mean,1.825
Interview Prof. Maraun,distrust_post,-2.8499999999999996
Interview Prof. Maraun,donation_ams,0.22499999999999998
Interview Prof. Maraun,funding_perceptions,1.7249999999999999
Interview Prof. Maraun,inst_trust_mean,2.825
Interview Prof. Maraun,newsletter_signup,0.01275
Interview Prof. Maraun,policy_general,1.8499999999999999
Interview Prof. Maraun,policy_role_mean,2.875
Interview Prof. Maraun,policy_specific_mean,1.5875
Interview Prof. Maraun,trust_multidimensional,4.15
Interview Prof. Maraun,trust_post,3.7500000000000004
Interview Prof. Sebille,behavior_mean,2.75
Interview Prof. Sebille,belief_post,2.325
Interview Prof. Sebille,concern_mean,3.5
Interview Prof. Sebille,distrust_post,-2.05
Interview Prof. Sebille,donation_ams,0.25
Interview Prof. Sebille,funding_perceptions,2.475
Interview Prof. Sebille,inst_trust_mean,2.925
Interview Prof. Sebille,newsletter_signup,0.019
Interview Prof. Sebille,policy_general,3.1500000000000004
Interview Prof. Sebille,policy_role_mean,3.725
Interview Prof. Sebille,policy_specific_mean,2.6750000000000003
Interview Prof. Sebille,trust_multidimensional,4.449999999999999
Interview Prof. Sebille,trust_post,4.175
Measurement & modeling (1),behavior_mean,2.175
Measurement & modeling (1),belief_post,1.8
Measurement & modeling (1),concern_mean,1.95
Measurement & modeling (1),distrust_post,-1.7125
Measurement & modeling (1),donation_ams,0.175
Measurement & modeling (1),funding_perceptions,1.65
Measurement & modeling (1),inst_trust_mean,2.05
Measurement & modeling (1),newsletter_signup,0.013250000000000001
Measurement & modeling (1),policy_general,1.8
Measurement & modeling (1),policy_role_mean,2.825
Measurement & modeling (1),policy_specific_mean,1.7
Measurement & modeling (1),trust_multidimensional,3.125
Measurement & modeling (1),trust_post,2.2
Measurement & modeling (2),behavior_mean,1.8
Measurement & modeling (2),belief_post,1.7750000000000001
Measurement & modeling (2),concern_mean,1.5
Measurement & modeling (2),distrust_post,-1.25
Measurement & modeling (2),donation_ams,0.1875
Measurement & modeling (2),funding_perceptions,1.575
Measurement & modeling (2),inst_trust_mean,2.15
Measurement & modeling (2),newsletter_signup,0.011
Measurement & modeling (2),policy_general,1.725
Measurement & modeling (2),policy_role_mean,2.875
Measurement & modeling (2),policy_specific_mean,1.525
Measurement & modeling (2),trust_multidimensional,3.3
Measurement & modeling (2),trust_post,2.075
Model accuracy,behavior_mean,2.35
Model accuracy,belief_post,2.9749999999999996
Model accuracy,concern_mean,2.2
Model accuracy,distrust_post,-1.975
Model accuracy,donation_ams,0.20750000000000002
Model accuracy,funding_perceptions,1.9999999999999998
Model accuracy,inst_trust_mean,2.75
Model accuracy,newsletter_signup,0.013250000000000001
Model accuracy,policy_general,2.425
Model accuracy,policy_role_mean,1.9249999999999998
Model accuracy,policy_specific_mean,2.05
Model accuracy,trust_multidimensional,3.4750000000000005
Model accuracy,trust_post,2.25
Oil industry misinformation,behavior_mean,3.125
Oil industry misinformation,belief_post,6.275
Oil industry misinformation,concern_mean,5.074999999999999
Oil industry misinformation,distrust_post,-8.5
Oil industry misinformation,donation_ams,0.375
Oil industry misinformation,funding_perceptions,4.55
Oil industry misinformation,inst_trust_mean,5.075
Oil industry misinformation,newsletter_signup,0.0225
Oil industry misinformation,policy_general,5.15
Oil industry misinformation,policy_role_mean,5.425
Oil industry misinformation,policy_specific_mean,4.45
Oil industry misinformation,trust_multidimensional,3.8
Oil industry misinformation,trust_post,4.25
Peer-review,behavior_mean,1.7875
Peer-review,belief_post,2.3625
Peer-review,concern_mean,2
Peer-review,distrust_post,-1.7625
Peer-review,donation_ams,0.2
Peer-review,funding_perceptions,1.9125
Peer-review,inst_trust_mean,2.55
Peer-review,newsletter_signup,0.01275
Peer-review,policy_general,1.9125
Peer-review,policy_role_mean,2.9749999999999996
Peer-review,policy_specific_mean,1.8625
Peer-review,trust_multidimensional,3.65
Peer-review,trust_post,3.4625
Portrait Prof. Cherry,behavior_mean,1.8875
Portrait Prof. Cherry,belief_post,1.4625000000000001
Portrait Prof. Cherry,concern_mean,1.6625
Portrait Prof. Cherry,distrust_post,-1.5375
Portrait Prof. Cherry,donation_ams,0.1825
Portrait Prof. Cherry,funding_perceptions,1.2249999999999999
Portrait Prof. Cherry,inst_trust_mean,2.35
Portrait Prof. Cherry,newsletter_signup,0.012
Portrait Prof. Cherry,policy_general,1.85
Portrait Prof. Cherry,policy_role_mean,3.075
Portrait Prof. Cherry,policy_specific_mean,1.5375
Portrait Prof. Cherry,trust_multidimensional,3.5
Portrait Prof. Cherry,trust_post,3.2375
Scientist community helpers,behavior_mean,2.35
Scientist community helpers,belief_post,1.725
Scientist community helpers,concern_mean,2.125
Scientist community helpers,distrust_post,-2.525
Scientist community helpers,donation_ams,0.25
Scientist community helpers,funding_perceptions,1.7249999999999999
Scientist community helpers,inst_trust_mean,2.675
Scientist community helpers,newsletter_signup,0.013999999999999999
Scientist community helpers,policy_general,2.05
Scientist community helpers,policy_role_mean,3.5500000000000003
Scientist community helpers,policy_specific_mean,2
Scientist community helpers,trust_multidimensional,4
Scientist community helpers,trust_post,3.725
Social justice,behavior_mean,2.6
Social justice,belief_post,2.225
Social justice,concern_mean,3.3499999999999996
Social justice,distrust_post,-1.825
Social justice,donation_ams,0.25
Social justice,funding_perceptions,2.475
Social justice,inst_trust_mean,1.975
Social justice,newsletter_signup,0.013999999999999999
Social justice,policy_general,3.3
Social justice,policy_role_mean,3.575
Social justice,policy_specific_mean,3.1500000000000004
Social justice,trust_multidimensional,3.475
Social justice,trust_post,2.3
